Company Name,Job Title,Rating,Salary Estimate,Location,Job Type,Size,Founded,Type of ownership,Industry,Revenue
GovStriveLLC,Data Scientist I,3.6,not found-------------------,"Dublin, GA", Full-time,51 to 200 Employees,2014,Company - Private,Consulting,Unknown / Non-Applicable
,Data Scientist,Vectorsoft,Employer Provided Salary:$78K - $184K,"Dallas, TX", Full-time,--,--,--,--,--
Discord,"Data Scientist, Analytics",4.7,not found-------------------,"San Francisco, CA", N/A,51 to 200 Employees,2015,Company - Private,Internet,$1 to $5 million (USD)
Zscaler,Staff Data Scientist,4.6,not found-------------------,"San Jose, CA", Full-time,1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Unknown / Non-Applicable
RMDS,Data Scientist for GRMDS.org,Lab,Employer Provided Salary:$56K - $118K,"Pasadena, CA", Full-time,--,--,--,--,--
SuncoastCreditUnion,Data Scientist,3.8,not found-------------------,"Tampa, FL", Full-time,1001 to 5000 Employees,1934,Nonprofit Organization,Banks & Credit Unions,$100 to $500 million (USD)
LeviStrauss&Co.,Data Scientist,4.0,not found-------------------,Remote, Full-time,10000+ Employees,1853,Company - Public,"Department, Clothing, & Shoe Stores",$2 to $5 billion (USD)
CiscoSystems,Data Scientist (Full Time) United States,4.3,not found-------------------,"San Jose, CA", Full-time,10000+ Employees,1984,Company - Private,Computer Hardware & Software,$10+ billion (USD)
Craftner,Data Scientist,INC,Employer Provided Salary:$48 Per Hour,"San Francisco, CA", Full-time,--,--,--,--,--
Doorstead,Data Scientist,4.5,not found-------------------,"San Francisco, CA", Full-time,--,--,--,--,--
EnvironmentalRiskManagement,Data Scientist,Inc,Employer Provided Salary:$125K - $180K,"Sunnyvale, CA", Full-time,--,--,--,--,--
WarnerMedia,Data Scientist I,3.9,not found-------------------,"New York, NY", Full-time,10000+ Employees,2003,Company - Public,Motion Picture Production & Distribution,$10+ billion (USD)
Facebook,"Data Scientist, Analytics (University Grad)",4.4,not found-------------------,"Menlo Park, CA", Internship,10000+ Employees,2004,Company - Public,Internet,$10+ billion (USD)
CaliforniaStateUniversity,Data Scientist,4.1,Employer Provided Salary:$64K - $116K,"San Diego, CA", Full-time,--,--,--,--,--
,Data Scientist,TurnPoint,Employer Provided Salary:$100K - $120K,"Dallas, TX", N/A,--,--,--,--,--
"DisneyParks,ExperiencesandProducts",Data Scientist,3.9,not found-------------------,"Celebration, FL", Full-time,10000+ Employees,1901,Subsidiary or Business Segment,"Museums, Zoos & Amusement Parks",$2 to $5 billion (USD)
EOS,Data Scientist,3.4,not found-------------------,"Fremont, CA", N/A,501 to 1000 Employees,2008,Company - Private,IT Services,Unknown / Non-Applicable
NextInsurance,"Data Scientist, Analytics",4.6,not found-------------------,"Palo Alto, CA", N/A,501 to 1000 Employees,2016,Company - Private,Insurance Carriers,Unknown / Non-Applicable
NextInsurance,"Data Scientist, Analytics",4.6,not found-------------------,"Palo Alto, CA",,--,--,--,--,--
NextInsurance,"Data Scientist, Analytics",4.6,not found-------------------,"Palo Alto, CA", Full-time,--,--,--,--,--
LendingHome,Data Scientist,4.2,not found-------------------,"San Francisco, CA", N/A,201 to 500 Employees,2013,Company - Private,Lending,Unknown / Non-Applicable
TwoBarrels,Data Scientist,4.7,Employer Provided Salary:$100K,"Spokane, WA", Full-time,--,--,--,--,--
VastekInc.,Data Scientist,4.8,Employer Provided Salary:$26 Per Hour,"Dallas, TX", Full-time,--,--,--,--,--
Microsoft,Data & Applied Scientist,4.4,not found-------------------,"Bellevue, WA", Full-time,10000+ Employees,1975,Company - Public,Computer Hardware & Software,$10+ billion (USD)
,Data Scientist,vectorsoft,Employer Provided Salary:$78K - $183K,"Dallas, TX", Full-time,--,--,--,--,--
HewlettPackardEnterprise,Data Scientist,4.0,not found-------------------,"San Jose, CA", N/A,10000+ Employees,2015,Company - Public,Enterprise Software & Network Solutions,Unknown / Non-Applicable
Walmart,Data Scientist,3.3,Employer Provided Salary:$90K,"Dallas, TX", Full-time,--,--,--,--,--
Walmart,Data Scientist,3.3,not found-------------------,"Dallas, TX", N/A,1001 to 5000 Employees,2015,Company - Public,Internet,$2 to $5 billion (USD)
LOCKHEEDMARTINCORPORATION,Data Scientist Associate - Level 1,4.1,not found-------------------,"Fort Worth, TX", N/A,10000+ Employees,1995,Company - Public,Aerospace & Defense,$10+ billion (USD)
TikTok,Data Scientist,3.7,not found-------------------,"New York, NY", N/A,501 to 1000 Employees,2016,Company - Private,Internet,Unknown / Non-Applicable
TikTok,Data Scientist,3.7,not found-------------------,"New York, NY",,--,--,--,--,--
Discovery,Data Scientist,3.9,not found-------------------,"New York, NY", N/A,10000+ Employees,1985,Company - Public,TV Broadcast & Cable Networks,$5 to $10 billion (USD)
Zscaler,Data Scientist,4.6,not found-------------------,"San Jose, CA", Full-time,1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Unknown / Non-Applicable
Deloitte,Junior Data Scientist,3.9,not found-------------------,"Arlington, TX", Full-time,10000+ Employees,1850,Company - Private,Accounting,$10+ billion (USD)
CharlesSchwab,Data Scientist,3.9,not found-------------------,"Westlake, TX", N/A,10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,$10+ billion (USD)
Deloitte,Data Scientist,3.9,not found-------------------,"Arlington, TX", Full-time,10000+ Employees,1850,Company - Private,Accounting,$10+ billion (USD)
TikTok,Data Scientist - Strategy & Analytics,3.7,not found-------------------,"Los Angeles, CA", Full-time,501 to 1000 Employees,2016,Company - Private,Internet,Unknown / Non-Applicable
HCLAmericaInc,Entry Level Data Science Engineer,3.7,Employer Provided Salary:$50K - $124K,"Alameda, CA", Full-time,--,--,--,--,--
Peloton,"Product Data Scientist, Product Analytics",4.1,not found-------------------,"New York, NY", N/A,1001 to 5000 Employees,2012,Company - Public,Internet,Unknown / Non-Applicable
MetLifeLegal,Data Scientist,Plans,Employer Provided Salary:$90K - $125K,Remote, Full-time,--,--,--,--,--
Amex,Junior Data Scientist,4.2,not found-------------------,"Phoenix, AZ", N/A,10000+ Employees,1850,Company - Public,Financial Transaction Processing,$10+ billion (USD)
Amex,Junior Data Scientist,4.2,not found-------------------,"Phoenix, AZ",,--,--,--,--,--
AIG,Data Scientist,3.6,not found-------------------,"Houston, TX", Full-time,10000+ Employees,1919,Company - Public,Insurance Carriers,$10+ billion (USD)
CBRE,Data Scientist,3.9,not found-------------------,"Atlanta Central City Post Offi, GA", Full-time,10000+ Employees,1906,Company - Public,Real Estate,Unknown / Non-Applicable
NielsenIQ,Data Scientist,3.8,not found-------------------,"Chicago, IL", Full-time,--,--,--,--,--
DenkenSolutionsInc,Sr. Data Scientist,4.3,not found-------------------,"Saint Louis, MO", N/A,201 to 500 Employees,2010,Company - Private,IT Services,$25 to $50 million (USD)
HP,Data Scientist,4.2,not found-------------------,"Spring, TX", Full-time,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Unknown / Non-Applicable
Gartner,Data Scientist,3.8,not found-------------------,"Irving, TX", Full-time,10000+ Employees,1979,Company - Public,Consulting,$2 to $5 billion (USD)
ClarivateAnalytics,Data Scientist (remote available)- Search & Analytics,3.8,not found-------------------,"San Francisco, CA", N/A,5001 to 10000 Employees,2016,Company - Public,Research & Development,$1 to $2 billion (USD)
NintendoofAmericaInc.,CONTRACT - Data Scientist (NTD),4.0,not found-------------------,"Redmond, WA", Contract,--,--,--,--,--
Activision,Associate/Intermediate Data Scientist,3.6,not found-------------------,"Santa Monica, CA", N/A,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,$500 million to $1 billion (USD)
Nike,"Senior Data Scientist, Audience Data Science",4.1,not found-------------------,"Beaverton, OR", Full-time,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,$10+ billion (USD)
EnvironmentalRiskManagement,Data Scientist,Inc,Employer Provided Salary:$125K - $250K,"San Diego, CA", Full-time,--,--,--,--,--
Blain'sFarm&Fleet,Data Scientist,3.3,not found-------------------,"Janesville, WI", N/A,1001 to 5000 Employees,1955,Company - Private,Other Retail Stores,Unknown / Non-Applicable
Nike,DATA SCIENTIST (NORTH AMERICA DIGITAL MARKETPLACE OPERATIONS),4.1,not found-------------------,"Beaverton, OR", Full-time,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,$10+ billion (USD)
Bayer,Data Scientist (Expert) - Data & Analytics - IT - CS - US,4.1,not found-------------------,"Saint Louis, MO", Contract,10000+ Employees,1863,Company - Private,Biotech & Pharmaceuticals,$10+ billion (USD)
Lowe's,Data Scientist,3.4,not found-------------------,"Charlotte, NC", Full-time,10000+ Employees,1921,Company - Public,Home Centers & Hardware Stores,$10+ billion (USD)
JohnDeere,Data Scientist,4.0,not found-------------------,"Johnston, IA", N/A,10000+ Employees,1837,Company - Public,Industrial Manufacturing,$10+ billion (USD)
ExpediaGroup,"Data Scientist II, Product Analytics",4.0,not found-------------------,"Chicago, IL", Full-time,10000+ Employees,1996,Company - Public,Internet,$5 to $10 billion (USD)
Chewy,Data Scientist,3.3,not found-------------------,"Boston, MA", N/A,10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,$2 to $5 billion (USD)
MetLifeLegal,Data Scientist,Plans,Employer Provided Salary:$90K - $125K,Remote, Full-time,--,--,--,--,--
Discovery,Data Scientist,3.9,not found-------------------,"New York, NY", N/A,10000+ Employees,1985,Company - Public,TV Broadcast & Cable Networks,$5 to $10 billion (USD)
NielsenIQ,Data Scientist,3.8,not found-------------------,"Chicago, IL", Full-time,--,--,--,--,--
Chewy,Data Scientist,3.3,not found-------------------,"Boston, MA", N/A,10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,$2 to $5 billion (USD)
CharlesSchwab,Data Scientist,3.9,not found-------------------,"Westlake, TX", N/A,10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,$10+ billion (USD)
Deloitte,Data Scientist,3.9,not found-------------------,"Arlington, TX", Full-time,10000+ Employees,1850,Company - Private,Accounting,$10+ billion (USD)
Zscaler,Data Scientist,4.6,not found-------------------,"San Jose, CA", Full-time,1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Unknown / Non-Applicable
CBRE,Data Scientist,3.9,not found-------------------,"Atlanta Central City Post Offi, GA", Full-time,10000+ Employees,1906,Company - Public,Real Estate,Unknown / Non-Applicable
Peloton,"Product Data Scientist, Product Analytics",4.1,not found-------------------,"New York, NY", N/A,1001 to 5000 Employees,2012,Company - Public,Internet,Unknown / Non-Applicable
Nike,"Senior Data Scientist, Audience Data Science",4.1,not found-------------------,"Beaverton, OR", Full-time,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,$10+ billion (USD)
AIG,Data Scientist,3.6,not found-------------------,"Houston, TX", Full-time,10000+ Employees,1919,Company - Public,Insurance Carriers,$10+ billion (USD)
Amex,Junior Data Scientist,4.2,not found-------------------,"Phoenix, AZ", N/A,10000+ Employees,1850,Company - Public,Financial Transaction Processing,$10+ billion (USD)
DenkenSolutionsInc,Sr. Data Scientist,4.3,not found-------------------,"Saint Louis, MO", N/A,201 to 500 Employees,2010,Company - Private,IT Services,$25 to $50 million (USD)
JamCity,Data Scientist,4.4,not found-------------------,"Culver City, CA", Full-time,201 to 500 Employees,2010,Company - Private,Video Games,Unknown / Non-Applicable
HCLAmericaInc,Entry Level Data Science Engineer,3.7,Employer Provided Salary:$50K - $124K,"Alameda, CA", Full-time,--,--,--,--,--
MillenniumManagementLLC,Data Scientist,4.0,not found-------------------,"New York, NY", Full-time,1001 to 5000 Employees,1989,Company - Private,Investment Banking & Asset Management,Unknown / Non-Applicable
NintendoofAmericaInc.,CONTRACT - Data Scientist (NTD),4.0,not found-------------------,"Redmond, WA", Contract,--,--,--,--,--
Wealthfront,Data Scientist,4.5,not found-------------------,"Palo Alto, CA", Full-time,51 to 200 Employees,2011,Company - Private,Investment Banking & Asset Management,Unknown / Non-Applicable
Gartner,Data Scientist,3.8,not found-------------------,"Irving, TX", Full-time,10000+ Employees,1979,Company - Public,Consulting,$2 to $5 billion (USD)
EDR,Data Scientist,Technology,Employer Provided Salary:$140K,"Ashburn, VA", Full-time,--,--,--,--,--
Zigzy,Data Scientist,3.6,not found-------------------,"Tustin, CA", Full-time,51 to 200 Employees,2016,Company - Private,Internet,Unknown / Non-Applicable
OneConcern,"Data Scientist, Hydrodynamics",3.7,not found-------------------,Remote, Full-time,51 to 200 Employees,2015,Company - Private,Enterprise Software & Network Solutions,$1 to $5 million (USD)
ELTSolutions,Data Scientist,3.0,not found-------------------,"San Jose, CA", N/A,--,--,--,--,--
Bayer,Data Scientist (Expert) - Data & Analytics - IT - CS - US,4.1,not found-------------------,"Saint Louis, MO", Contract,10000+ Employees,1863,Company - Private,Biotech & Pharmaceuticals,$10+ billion (USD)
PugetSoundEnergy,Data Scientist,3.8,not found-------------------,"Bellevue, WA", N/A,1001 to 5000 Employees,1999,Company - Private,Utilities,$2 to $5 billion (USD)
Zscaler,Senior Data Scientist - ZDX,4.6,not found-------------------,"San Jose, CA", Full-time,1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Unknown / Non-Applicable
Lowe's,Data Scientist,3.4,not found-------------------,"Charlotte, NC", Full-time,10000+ Employees,1921,Company - Public,Home Centers & Hardware Stores,$10+ billion (USD)
"Zipcar,Inc.",Data Scientist,3.6,not found-------------------,"South San Francisco, CA", Full-time,201 to 500 Employees,2000,Subsidiary or Business Segment,Car Rental,$100 to $500 million (USD)
JohnDeere,Data Scientist,4.0,not found-------------------,"Johnston, IA", N/A,10000+ Employees,1837,Company - Public,Industrial Manufacturing,$10+ billion (USD)
Niantic,"Data Scientist, Operations",3.6,not found-------------------,"Sunnyvale, CA", N/A,501 to 1000 Employees,2011,Company - Private,Video Games,Unknown / Non-Applicable
